frame,time,hitIndex,pointIndex,vertIndex,hitX,hitY,hitZ,normalX,normalY,normalZ
144,1.2365,0,25775,-1,0.39473,0.31976,0.28752,-0.22005,0.82476,-0.52090
144,1.2365,1,25776,-1,0.39475,0.31975,0.28817,-0.22251,0.83632,-0.50105
144,1.2365,2,25777,-1,0.39476,0.31974,0.28881,-0.22491,0.84775,-0.48035
144,1.2365,3,25778,-1,0.39478,0.31974,0.28946,-0.22724,0.85900,-0.45879
144,1.2365,4,25779,-1,0.39480,0.31973,0.29011,-0.22950,0.87001,-0.43636
144,1.2365,5,29750,-1,0.38933,0.31730,0.28797,-0.45188,0.73246,-0.50922
144,1.2365,6,29751,-1,0.38934,0.31729,0.28862,-0.45770,0.74275,-0.48871
144,1.2365,7,29752,-1,0.38936,0.31729,0.28927,-0.46342,0.75290,-0.46732
144,1.2365,8,29753,-1,0.38938,0.31728,0.28992,-0.46900,0.76287,-0.44505
144,1.2365,9,29754,-1,0.38939,0.31727,0.29057,-0.47444,0.77261,-0.42188
144,1.2365,10,29755,-1,0.38941,0.31726,0.29122,-0.47968,0.78208,-0.39782
144,1.2365,11,29756,-1,0.38943,0.31726,0.29187,-0.48472,0.79121,-0.37287
144,1.2365,12,29757,-1,0.38944,0.31725,0.29252,-0.48950,0.79997,-0.34705
144,1.2365,13,29758,-1,0.38946,0.31724,0.29317,-0.49400,0.80828,-0.32037
144,1.2365,14,29759,-1,0.38948,0.31724,0.29381,-0.49820,0.81611,-0.29287
144,1.2365,15,29760,-1,0.38950,0.31723,0.29446,-0.50204,0.82338,-0.26458
145,1.2460,0,30320,-1,0.38818,0.31821,0.30925,-0.50091,0.77165,0.39198
145,1.2460,1,21672,-1,0.39315,0.32175,0.30568,-0.29145,0.92555,0.24167
145,1.2460,2,21673,-1,0.39317,0.32174,0.30633,-0.28884,0.91921,0.26761
145,1.2460,3,21674,-1,0.39319,0.32173,0.30698,-0.28605,0.91231,0.29302
145,1.2460,4,21675,-1,0.39237,0.32230,0.30788,-0.30694,0.89739,0.31698
145,1.2460,5,27823,-1,0.39694,0.32053,0.28666,-0.12420,0.83204,-0.54064
145,1.2460,6,27824,-1,0.39612,0.32110,0.28750,-0.15618,0.84986,-0.50334
145,1.2460,7,27825,-1,0.39614,0.32110,0.28815,-0.15758,0.86093,-0.48371
145,1.2460,8,27826,-1,0.39616,0.32109,0.28879,-0.15894,0.87183,-0.46331
145,1.2460,9,27827,-1,0.39617,0.32108,0.28944,-0.16024,0.88253,-0.44212
145,1.2460,10,27828,-1,0.39619,0.32108,0.29008,-0.16148,0.89298,-0.42014
145,1.2460,11,27829,-1,0.39621,0.32107,0.29073,-0.16265,0.90312,-0.39738
145,1.2460,12,27830,-1,0.39539,0.32164,0.29158,-0.19462,0.91417,-0.35556
145,1.2460,13,27831,-1,0.39541,0.32164,0.29223,-0.19583,0.92292,-0.33146
145,1.2460,14,27832,-1,0.39543,0.32163,0.29288,-0.19693,0.93122,-0.30667
145,1.2460,15,27833,-1,0.39544,0.32162,0.29352,-0.19792,0.93901,-0.28122
146,1.2529,0,6785,-1,0.39186,0.31710,0.28434,-0.33127,0.69570,-0.63739
146,1.2529,1,6786,-1,0.39188,0.31709,0.28498,-0.33629,0.70742,-0.62166
146,1.2529,2,6787,-1,0.39105,0.31765,0.28582,-0.36754,0.72506,-0.58242
146,1.2529,3,6788,-1,0.39107,0.31765,0.28647,-0.37271,0.73634,-0.56471
146,1.2529,4,6789,-1,0.39108,0.31764,0.28711,-0.37786,0.74762,-0.54615
146,1.2529,5,6790,-1,0.39463,0.32067,0.29807,-0.25044,0.96394,-0.08994
